NS 10000
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7859
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6144
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4760
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3628
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7455
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4326
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6344
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4759
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8760
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5637
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4326
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3215
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8133
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8760
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4959
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5677
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4939
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4922
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4133
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8537
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3811
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7062
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6711
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2717
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8973
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7686
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8760
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8133
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1426
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5464
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4920
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3842
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7659
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1637
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4539
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7859
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2131
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2317
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7659
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5640
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8377
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4153
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3255
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6751
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3242
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4326
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6175
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3282
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5640
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4122
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6911
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2537
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5233
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3648
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4739
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4353
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6575
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5640
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1426
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8933
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3282
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7266
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3828
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4566
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4760
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8377
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1620
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7282
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8960
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4953
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8566
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1639
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3628
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6182
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8173
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8566
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3822
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8760
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1266
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2537
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7659
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5233
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5060
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8577
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6711
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2711
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6515
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6151
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2317
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1060
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3648
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4153
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2971
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7686
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7262
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5871
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6951
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4133
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6911
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3648
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4960
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1020
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7426
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6751
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2971
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8973
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7262
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3488
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2517
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7859
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4760
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2144
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2577
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6588
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7253
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3428
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2144
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5033
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8537
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1637
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7255
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3215
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6515
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5233
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2717
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5244
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4153
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8537
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4953
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6355
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7266
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3488
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1639
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7253
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8960
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6911
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6971
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1620
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2537
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8973
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6144
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8737
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3455
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3659
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6175
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6144
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3242
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3822
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5264
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6344
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4922
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2711
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5860
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3415
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7486
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6982
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5031
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4122
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3628
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1637
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1620
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5071
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7266
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3688
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5860
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1626
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1637
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5264
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7062
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5637
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2931
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7082
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7686
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5044
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7686
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6344
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8973
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3022
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8364
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6182
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5033
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2731
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5071
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2971
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2577
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4953
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5264
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5860
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5073
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4920
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6515
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4566
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5677
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6982
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3859
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5464
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6155
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4933
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6911
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7255
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6788
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1437
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1860
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2911
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7659
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1637
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7255
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1466
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1626
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7282
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8933
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5264
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7286
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4526
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4760
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6151
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3042
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2717
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1060
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5264
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2748
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2577
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2548
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4739
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8537
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4760
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 8366
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7022
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5640
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 1639
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3022
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 3819
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4326
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 5677
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 2717
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 7466
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4133
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4133
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 6982
UHF -2,+2,-8,+7
LHF -5,+3,-8,+0
PHF -4,+2,-2,+9
ROOT 4027
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 2528
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 8582
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 2526
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 4760
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 3936
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 7150
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 4461
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 3673
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 7130
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 3659
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 5815
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 4081
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 2982
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 1174
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 7350
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 7714
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 8182
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 8184
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 2982
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 5859
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 7314
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 1138
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 6049
UHF -2,+7,-3,+9
LHF -3,+4,-3,+7
PHF -6,+1,-7,+0
ROOT 6083
UHF -2,+7,-3,+9
